44,cs068,虞山镇镇政府,502396.754904,3501487.153626,1,POINT (502396.754904 3501487.153626),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (502396.754904 3501487.153626)
45,cs069,藕渠卫生院,502429.415523,3499922.254402,1,POINT (502429.415523 3499922.254402),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (502429.415523 3499922.254402)
46,cs070,藕渠增压站,502350.882575,3499095.080561,1,POINT (502350.882575 3499095.080561),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (502350.882575 3499095.080561)
47,cs071,东南开发区派出所,503182.219899,3497872.094543,1,POINT (503182.219899 3497872.094543),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (503182.219899 3497872.094543)
48,cs072,沙家浜供电所,502198.649401,3493617.784193,1,POINT (502198.649401 3493617.784193),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (502198.649401 3493617.784193)
49,cs073,唐市派出所,508717.20981,3491888.510631,1,POINT (508717.20981 3491888.510631),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (508717.20981 3491888.510631)
50,cs074,任阳街道办事处,519512.289149,3491433.394073,1,POINT (519512.289149 3491433.394073),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (519512.289149 3491433.394073)
51,cs076,支塘镇阿里山集团,517873.167073,3497398.435425,1,POINT (517873.167073 3497398.435425),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (517873.167073 3497398.435425)
52,cs077,白茆康博集团,514313.607024,3497064.676729,1,POINT (514313.607024 3497064.676729),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (514313.607024 3497064.676729)
53,cs078,古里镇派出所,508353.250369,3501379.641554,1,POINT (508353.250369 3501379.641554),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (508353.250369 3501379.641554)
54,cs079,古里镇新桥村委会,504949.974704,3501928.225231,1,POINT (504949.974704 3501928.225231),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (504949.974704 3501928.225231)
55,cs080,尚湖镇供电所,488551.853899,3504667.599162,1,POINT (488551.853899 3504667.599162),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (488551.853899 3504667.599162)
56,cs081,王庄派出所,484107.196793,3507641.745444,1,POINT (484107.196793 3507641.745444),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (484107.196793 3507641.745444)
57,cs082,练塘镇吉桥村委会,487842.066814,3499968.245882,1,POINT (487842.066814 3499968.245882),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (487842.066814 3499968.245882)
58,cs083,尚湖镇练塘办事处,489066.205379,3499199.581209,1,POINT (489066.205379 3499199.581209),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (489066.205379 3499199.581209)
59,cs084,张桥平墅社区服务中心,487542.217325,3496020.139996,1,POINT (487542.217325 3496020.139996),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (487542.217325 3496020.139996)
60,cs085,杨园中法水务营业所,490684.487778,3493021.873764,1,POINT (490684.487778 3493021.873764),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (490684.487778 3493021.873764)
61,cs086,辛庄镇交警中队,494087.869182,3489960.496559,1,POINT (494087.869182 3489960.496559),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (494087.869182 3489960.496559)
62,cs087,辛庄镇隆力奇集团,491141.571688,3487181.289218,1,POINT (491141.571688 3487181.289218),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (491141.571688 3487181.289218)
63,cs088,莫城中学,496508.653309,3496504.713484,1,POINT (496508.653309 3496504.713484),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (496508.653309 3496504.713484)
64,cs098,虞山镇顶山村,495997.909116,3506707.661309,1,POINT (495997.909116 3506707.661309),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (495997.909116 3506707.661309)
65,cs089,梅李交警中队,510092.861892,3511136.126584,1,POINT (510092.861892 3511136.126584),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (510092.861892 3511136.126584)
66,cs090,碧溪新区桐坝社区居委会,515800.471057,3514095.719808,1,POINT (515800.471057 3514095.719808),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (515800.471057 3514095.719808)
67,cs091,碧溪中法水务营业所,516932.535531,3511033.529205,1,POINT (516932.535531 3511033.529205),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (516932.535531 3511033.529205)
68,cs092,滨江新区医院,516315.899449,3512934.554118,1,POINT (516315.899449 3512934.554118),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (516315.899449 3512934.554118)
69,cs093,滨江城管中队,517604.40878,3514225.48467,1,POINT (517604.40878 3514225.48467),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (517604.40878 3514225.48467)
70,cs094,吴市农商行,522246.45548,3511691.744427,1,POINT (522246.45548 3511691.744427),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (522246.45548 3511691.744427)
71,cs095,东张水利站,524643.203264,3508482.436976,1,POINT (524643.203264 3508482.436976),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (524643.203264 3508482.436976)
72,cs096,新区医院,501996.627137,3506402.797286,1,POINT (501996.627137 3506402.797286),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (501996.627137 3506402.797286)
73,cs097,常熟中法水务总部,499657.050671,3505563.137499,1,POINT (499657.050671 3505563.137499),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (499657.050671 3505563.137499)
74,cs160,虞山镇工业园管委会,496086.569125,3507813.394566,1,POINT (496086.569125 3507813.394566),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (496086.569125 3507813.394566)
75,cs161,冶塘中法营业所,488308.213456,3504517.026738,1,POINT (488308.213456 3504517.026738),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (488308.213456 3504517.026738)
79,cs165,招商城管委会,499189.555403,3499832.887799,1,POINT (499189.555403 3499832.887799),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (499189.555403 3499832.887799)
81,cs167,古里镇政府,508202.063862,3501496.404611,1,POINT (508202.063862 3501496.404611),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (508202.063862 3501496.404611)
84,cs170,滨江国际大厦,517766.072325,3514054.037843,1,POINT (517766.072325 3514054.037843),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (517766.072325 3514054.037843)
86,cs173,虞山镇虹桥管理区,502121.567393,3505380.948159,1,POINT (502121.567393 3505380.948159),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (502121.567393 3505380.948159)
87,cs171,梅李科创楼,509964.159982,3511102.429493,1,POINT (509964.159982 3511102.429493),0.49,0.23,3,<5,未检出,1.38      ,无异臭异味,POINT (509964.159982 3511102.429493)
